order_no,slug,bolum,alt_bolum,kayit_turu,ekleyen,baslik,aciklama,url,file_id,dosya_tipi,mime_type,gizlilik,public_import,import_onerisi,etiketler,source_path,status
47,finans-mayis-2026-lovable-top-up-mayis-no4-png,Finans,Mayıs 2026,Link,UBT,Lovable Top Up Mayıs No4.png,Mayıs ayı Lovable top-up işleminin dördüncü kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1uWFNgAK4Mm2cZ3y1Nq-_NRYb748s2lrj/view?usp=drivesdk,1uWFNgAK4Mm2cZ3y1Nq-_NRYb748s2lrj,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
48,finans-mayis-2026-lovable-12-mayis-no-3-png,Finans,Mayıs 2026,Link,UBT,Lovable 12 Mayıs No 3.png,12 Mayıs tarihli Lovable ödeme veya kullanım kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1l1uoBDSP7WQMlHgJl0kWf3ZdqkwbDvx_/view?usp=drivesdk,1l1uoBDSP7WQMlHgJl0kWf3ZdqkwbDvx_,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
49,finans-mayis-2026-lovable-11-mayis-no2-png,Finans,Mayıs 2026,Link,UBT,Lovable 11 Mayıs No2 .png,11 Mayıs tarihli Lovable ödeme veya kullanım kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1AcOpvNRWCbq1KW2YvY7WRfLGbQKvrqKX/view?usp=drivesdk,1AcOpvNRWCbq1KW2YvY7WRfLGbQKvrqKX,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
50,finans-mayis-2026-lovable-top-up-11-mayis-png,Finans,Mayıs 2026,Link,UBT,Lovable  top up 11 Mayıs .png,11 Mayıs tarihli Lovable top-up işlemini gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1lYCsIKY3LN-BqryHspNgAZTcYOkQkLcF/view?usp=drivesdk,1lYCsIKY3LN-BqryHspNgAZTcYOkQkLcF,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
51,finans-mayis-2026-lovable-5-mayis-png,Finans,Mayıs 2026,Link,UBT,LOVABLE 5 Mayıs.png,5 Mayıs tarihli Lovable ödeme veya kullanım kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/11QphIymfPFrBmp3oFGWOhZSS2QER86ir/view?usp=drivesdk,11QphIymfPFrBmp3oFGWOhZSS2QER86ir,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
52,finans-mayis-2026-supabase-png,Finans,Mayıs 2026,Link,UBT,SUPABASE.png,Supabase ödeme veya kullanım kaydına ait ekran görüntüsüdür.,https://drive.google.com/file/d/1MBQX45wT_YR-ycFn42CibOVpMIY_UueO/view?usp=drivesdk,1MBQX45wT_YR-ycFn42CibOVpMIY_UueO,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
53,finans-mayis-2026-kling-png,Finans,Mayıs 2026,Link,UBT,KLING.png,Kling aracına ait ödeme veya kullanım kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1S8kGZzm9q3IB-Q_1_ct0-4TU8A0--Kgu/view?usp=drivesdk,1S8kGZzm9q3IB-Q_1_ct0-4TU8A0--Kgu,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
54,finans-mayis-2026-may2-ein-fast-lane-payment-png,Finans,Mayıs 2026,Link,UBT,MAY2 EIN FAST LANE PAYMENT .png,EIN fast lane işlemi için yapılan ödeme kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1wm0_ypd8Y3rigRl0IG25sB8VzS04uk6U/view?usp=drivesdk,1wm0_ypd8Y3rigRl0IG25sB8VzS04uk6U,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
55,marketing-genel-corteqs-ambassador-docx,Marketing,Genel,Link,UBT,Corteqs Ambassador.docx,CorteQS ambassador veya elçi programı için hazırlanmış tanıtım dokümanıdır.,https://docs.google.com/document/d/15Tf2NUqFGlhYTNfla2GYntO2Ga9HIgnf/edit?usp=drivesdk&rtpof=true&sd=true,15Tf2NUqFGlhYTNfla2GYntO2Ga9HIgnf,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"marketing,outreach,iletişim",MARKETING,active
56,marketing-genel-basit-whatsapp-guide-docx,Marketing,Genel,Link,UBT,Basit Whatsapp Guide.docx,WhatsApp üzerinden topluluk veya kullanıcı yönlendirme sürecini anlatan kısa rehberdir.,https://docs.google.com/document/d/1p0TP41SkZcNtd62n3Ki0J6vXvZsx5OYY/edit?usp=drivesdk&rtpof=true&sd=true,1p0TP41SkZcNtd62n3Ki0J6vXvZsx5OYY,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"marketing,outreach,iletişim",MARKETING,active
57,marketing-genel-influencer-lansman-dm-docx,Marketing,Genel,Link,UBT,Influencer Lansman DM.docx,Influencerlara gönderilecek lansman DM metinlerini içeren dokümandır.,https://docs.google.com/document/d/1BMKkB-4iRhYfMpBTIVrXPg0LGlfzB_kE/edit?usp=drivesdk&rtpof=true&sd=true,1BMKkB-4iRhYfMpBTIVrXPg0LGlfzB_kE,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"marketing,outreach,iletişim",MARKETING,active
58,marketing-genel-formal-mail-influencer-lansman-davet-mail-docx,Marketing,Genel,Link,UBT,Formal Mail Influencer Lansman Davet Mail.docx,Influencer lansmanı için daha resmi e-posta davet metnini içeren dokümandır.,https://docs.google.com/document/d/1AnMGofyedeYC7AabRHba03x0YCAA39df/edit?usp=drivesdk&rtpof=true&sd=true,1AnMGofyedeYC7AabRHba03x0YCAA39df,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"marketing,outreach,iletişim",MARKETING,active
59,marketing-genel-topluluk-liderlerine-davet-whatsapp-docx,Marketing,Genel,Link,UBT,Topluluk Liderlerine Davet-Whatsapp.docx,Topluluk liderlerine WhatsApp üzerinden gönderilecek davet metnini içeren dokümandır.,https://docs.google.com/document/d/17w8J1vLUnfLs_AXDQwxJR1PJFygNhVSq/edit?usp=drivesdk&rtpof=true&sd=true,17w8J1vLUnfLs_AXDQwxJR1PJFygNhVSq,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"marketing,outreach,iletişim",MARKETING,active
60,marketing-genel-partner-retention-fikirleri-docx,Marketing,Genel,Link,UBT,PARTNER Retention Fikirleri.docx,Partnerleri elde tutma ve yeniden aktive etme fikirlerini içeren dokümandır.,https://docs.google.com/document/d/1awqjlJuYGDT7KoZw9ush8jbwnl0rRBfS/edit?usp=drivesdk&rtpof=true&sd=true,1awqjlJuYGDT7KoZw9ush8jbwnl0rRBfS,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"marketing,outreach,iletişim",MARKETING,active
61,marketing-contributor-content-tracker,Marketing,Contributor,Link,UBT,CONTENT TRACKER,Contributor içerik üretim sürecinin takip edildiği tablo dosyasıdır.,https://docs.google.com/spreadsheets/d/1l6VW_boMoB1oLW0wz04ZulDu4Zjm5mKW9ZQ27CGspds/edit?usp=drivesdk,1l6VW_boMoB1oLW0wz04ZulDu4Zjm5mKW9ZQ27CGspds,Google Sheet,application/vnd.google-apps.spreadsheet,internal,False,IMPORT_INTERNAL_DB,"contributor,content,tracker",MARKETING / CONTRIBUTOR,active
62,marketing-contributor-sehir-elcileri-toplanti-anketi,Marketing,Contributor,Link,UBT,Şehir Elçileri Toplantı Anketi,Şehir elçileri toplantısı için hazırlanmış anket veya soru seti dokümanıdır.,https://docs.google.com/document/d/1bWSgEQGEbxviMcHnZmOQocgAGqMnsdbZlAZOkJXet5o/edit?usp=drivesdk,1bWSgEQGEbxviMcHnZmOQocgAGqMnsdbZlAZOkJXet5o,Google Doc,application/vnd.google-apps.document,internal,False,IMPORT_INTERNAL_DB,"şehir elçileri,anket,contributor",MARKETING / CONTRIBUTOR,active
63,marketing-yarismalar-blogger-04-blogger-kayit-formu-akisi-ve-soru-seti-rev-docx,Marketing,Yarışmalar / Blogger,Link,UBT,04_Blogger_Kayit_Formu_Akisi_ve_Soru_Seti_REV.docx,Blogger yarışması kayıt formu akışı ve soru seti dokümanıdır.,https://docs.google.com/document/d/1iXDd9R6o-R5k3Lg-W_4Ib5hsOsMmc9e0/edit?usp=drivesdk&rtpof=true&sd=true,1iXDd9R6o-R5k3Lg-W_4Ib5hsOsMmc9e0,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"blogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Blogger_Son_Versiyon_Dokumanlari_DOCX,active
64,marketing-yarismalar-blogger-05-blogger-degerlendirme-etkilesim-guvenligi-docx,Marketing,Yarışmalar / Blogger,Link,UBT,05_Blogger_Degerlendirme_Etkilesim_Guvenligi.docx,"Blogger yarışması değerlendirme, etkileşim ve güvenlik kriterlerini açıklayan dokümandır.",https://docs.google.com/document/d/1AZfvNM8XWm9KJbMW49ziNmwvW2kmY7qj/edit?usp=drivesdk&rtpof=true&sd=true,1AZfvNM8XWm9KJbMW49ziNmwvW2kmY7qj,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"blogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Blogger_Son_Versiyon_Dokumanlari_DOCX,active
65,marketing-yarismalar-blogger-03-blogger-katilim-sartlari-ve-onay-metinleri-docx,Marketing,Yarışmalar / Blogger,Link,UBT,03_Blogger_Katilim_Sartlari_ve_Onay_Metinleri.docx,Blogger yarışması katılım şartları ve onay metinlerini içeren dokümandır.,https://docs.google.com/document/d/1Pssx3s0XRSJCEDLO5Vat4-5d0pl2i99c/edit?usp=drivesdk&rtpof=true&sd=true,1Pssx3s0XRSJCEDLO5Vat4-5d0pl2i99c,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"blogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Blogger_Son_Versiyon_Dokumanlari_DOCX,active
66,marketing-yarismalar-blogger-02-sosyal-medya-blogger-duyuru-paketi-docx,Marketing,Yarışmalar / Blogger,Link,UBT,02_Sosyal_Medya_Blogger_Duyuru_Paketi.docx,Blogger yarışmasının sosyal medya duyuru metinlerini içeren pakettir.,https://docs.google.com/document/d/1mTih9u5rPencMw2DaiG7reItk2xvuiJY/edit?usp=drivesdk&rtpof=true&sd=true,1mTih9u5rPencMw2DaiG7reItk2xvuiJY,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"blogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Blogger_Son_Versiyon_Dokumanlari_DOCX,active
67,marketing-yarismalar-blogger-01-web-sitesi-blogger-yarisma-sayfasi-docx,Marketing,Yarışmalar / Blogger,Link,UBT,01_Web_Sitesi_Blogger_Yarisma_Sayfasi.docx,Blogger yarışması için web sayfası içerik ve yapı dokümanıdır.,https://docs.google.com/document/d/1MfIUkD81NoaEQpTCvJiyZdcDMvmKJLOp/edit?usp=drivesdk&rtpof=true&sd=true,1MfIUkD81NoaEQpTCvJiyZdcDMvmKJLOp,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"blogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Blogger_Son_Versiyon_Dokumanlari_DOCX,active
68,marketing-yarismalar-blogger-06-blogger-eposta-operasyon-ve-takip-sablonlari-docx,Marketing,Yarışmalar / Blogger,Link,UBT,06_Blogger_Eposta_Operasyon_ve_Takip_Sablonlari.docx,Blogger yarışması e-posta operasyonu ve takip şablonlarını içeren dokümandır.,https://docs.google.com/document/d/1wrPpJUylQ1ZN9TLQhzArabPjRsJUpqmt/edit?usp=drivesdk&rtpof=true&sd=true,1wrPpJUylQ1ZN9TLQhzArabPjRsJUpqmt,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"blogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Blogger_Son_Versiyon_Dokumanlari_DOCX,active
69,marketing-yarismalar-blogger-00-klasor-indeksi-docx,Marketing,Yarışmalar / Blogger,Link,UBT,00_Klasor_Indeksi.docx,Blogger yarışması doküman setinin klasör indeksini ve içerik düzenini gösteren dokümandır.,https://docs.google.com/document/d/1C94hvlpQv3GFSiHOv8qbWraNyP_rSzx6/edit?usp=drivesdk&rtpof=true&sd=true,1C94hvlpQv3GFSiHOv8qbWraNyP_rSzx6,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"blogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Blogger_Son_Versiyon_Dokumanlari_DOCX,active
70,marketing-yarismalar-vlogger-06-vlogger-eposta-operasyon-ve-takip-sablonlari-docx,Marketing,Yarışmalar / Vlogger,Link,UBT,06_Vlogger_Eposta_Operasyon_ve_Takip_Sablonlari.docx,Vlogger yarışması e-posta operasyonu ve takip şablonlarını içeren dokümandır.,https://docs.google.com/document/d/18zcYVTdLlEe-rFybWhQ24thKwR-oX-Ux/edit?usp=drivesdk&rtpof=true&sd=true,18zcYVTdLlEe-rFybWhQ24thKwR-oX-Ux,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"vlogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Vlogger_Son_Versiyon_Dokumanlari_DOCX,active
71,marketing-yarismalar-vlogger-00-klasor-indeksi-docx,Marketing,Yarışmalar / Vlogger,Link,UBT,00_Klasor_Indeksi.docx,Vlogger yarışması doküman setinin klasör indeksini ve içerik düzenini gösteren dokümandır.,https://docs.google.com/document/d/1VJ17JMRMgQOTm7xfKB9C1-hU25-xscJw/edit?usp=drivesdk&rtpof=true&sd=true,1VJ17JMRMgQOTm7xfKB9C1-hU25-xscJw,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"vlogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Vlogger_Son_Versiyon_Dokumanlari_DOCX,active
72,marketing-yarismalar-vlogger-03-vlogger-katilim-sartlari-ve-onay-metinleri-docx,Marketing,Yarışmalar / Vlogger,Link,UBT,03_Vlogger_Katilim_Sartlari_ve_Onay_Metinleri.docx,Vlogger yarışması katılım şartları ve onay metinleri dokümanıdır.,https://docs.google.com/document/d/1mJNZDMMGJyV20UTgytCoJ9_1dkUa9U8l/edit?usp=drivesdk&rtpof=true&sd=true,1mJNZDMMGJyV20UTgytCoJ9_1dkUa9U8l,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"vlogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Vlogger_Son_Versiyon_Dokumanlari_DOCX,active
73,marketing-yarismalar-vlogger-02-sosyal-medya-vlogger-duyuru-paketi-docx,Marketing,Yarışmalar / Vlogger,Link,UBT,02_Sosyal_Medya_Vlogger_Duyuru_Paketi.docx,Vlogger yarışması sosyal medya duyuru paketini içeren dokümandır.,https://docs.google.com/document/d/1O2EcKLGj_yg-TjvAKw8cIOXlyR3rECLR/edit?usp=drivesdk&rtpof=true&sd=true,1O2EcKLGj_yg-TjvAKw8cIOXlyR3rECLR,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"vlogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Vlogger_Son_Versiyon_Dokumanlari_DOCX,active
74,marketing-yarismalar-vlogger-05-vlogger-degerlendirme-etkilesim-guvenligi-docx,Marketing,Yarışmalar / Vlogger,Link,UBT,05_Vlogger_Degerlendirme_Etkilesim_Guvenligi.docx,"Vlogger yarışması değerlendirme, etkileşim ve güvenlik kurallarını içeren dokümandır.",https://docs.google.com/document/d/1icvL3aYbW5dBkbmcA1B6buLdnqkxauVw/edit?usp=drivesdk&rtpof=true&sd=true,1icvL3aYbW5dBkbmcA1B6buLdnqkxauVw,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"vlogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Vlogger_Son_Versiyon_Dokumanlari_DOCX,active
75,marketing-yarismalar-vlogger-04-vlogger-kayit-formu-akisi-ve-soru-seti-docx,Marketing,Yarışmalar / Vlogger,Link,UBT,04_Vlogger_Kayit_Formu_Akisi_ve_Soru_Seti.docx,Vlogger yarışması kayıt formu akışı ve soru seti dokümanıdır.,https://docs.google.com/document/d/1aYg7m1kFy6cunan4vQNYUmL2znlvsAyo/edit?usp=drivesdk&rtpof=true&sd=true,1aYg7m1kFy6cunan4vQNYUmL2znlvsAyo,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"vlogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Vlogger_Son_Versiyon_Dokumanlari_DOCX,active
76,marketing-yarismalar-vlogger-01-web-sitesi-vlogger-yarisma-sayfasi-docx,Marketing,Yarışmalar / Vlogger,Link,UBT,01_Web_Sitesi_Vlogger_Yarisma_Sayfasi.docx,Vlogger yarışması web sayfası içerik ve yapı dokümanıdır.,https://docs.google.com/document/d/1IDlYjZh_3VMnat_Q_MQh9dSh9urRd1kx/edit?usp=drivesdk&rtpof=true&sd=true,1IDlYjZh_3VMnat_Q_MQh9dSh9urRd1kx,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"vlogger,yarışma,marketing",MARKETING / YARIŞMALAR / CorteQS_Vlogger_Son_Versiyon_Dokumanlari_DOCX,active
77,marketing-subscription-corteqs-subscription-paketleri-ve-fiyatlandirma-docx,Marketing,Subscription,Link,UBT,CorteQS Subscription Paketleri ve Fiyatlandırma.docx,CorteQS abonelik paketleri ve fiyatlandırma yapısını açıklayan dokümandır.,https://docs.google.com/document/d/1wWaK01l4UQwz9gp33ELFKp3cKj5g-yZg/edit?usp=drivesdk&rtpof=true&sd=true,1wWaK01l4UQwz9gp33ELFKp3cKj5g-yZg,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"subscription,fiyatlandırma,marketing",MARKETING / SUBSCRIPTION,active
78,gorseller-logo-calismalari-corteqs-logo-kullanim-klavuzu-pdf,Görseller,Logo Çalışmaları,Link,UBT,CorteQS LOGO Kullanım Klavuzu.pdf,CorteQS logosunun kullanım kurallarını ve marka uygulama detaylarını anlatan kılavuzdur.,https://drive.google.com/file/d/1OBn6s8H7f9qKmH2HsovClQm9Oxm-JeWb/view?usp=drivesdk,1OBn6s8H7f9qKmH2HsovClQm9Oxm-JeWb,PDF,application/pdf,public,True,IMPORT_PUBLIC_DB,"logo,brand,kılavuz",MARKETING / LOGO ÇALIŞMALARI,active
79,gorseller-logo-calismalari-corteqs-logo-stratejisi-1-faz-sunumu-pptx,Görseller,Logo Çalışmaları,Link,UBT,CorteQS_Logo_Stratejisi_1_Faz_Sunumu.pptx,CorteQS logo stratejisinin ilk fazını anlatan sunum dosyasıdır.,https://docs.google.com/presentation/d/1_V-iodsgJBVAbXcAHNG3bjExh9UAEiOA/edit?usp=drivesdk&rtpof=true&sd=true,1_V-iodsgJBVAbXcAHNG3bjExh9UAEiOA,PPTX,application/vnd.openxmlformats-officedocument.presentationml.presentation,internal,False,IMPORT_INTERNAL_DB,"logo,strateji,sunum",MARKETING / LOGO ÇALIŞMALARI,active
80,gorseller-corteqs-logolar-s-effaf-11-png,Görseller,CORTEQS LOGOLAR,Link,UBT,şeffaf-11.png,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1f75j4zn__2Qgrkd7IjpfE37QFTZhewaw/view?usp=drivesdk,1f75j4zn__2Qgrkd7IjpfE37QFTZhewaw,PNG görsel,image/png,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
81,gorseller-corteqs-logolar-s-effaf-12-png,Görseller,CORTEQS LOGOLAR,Link,UBT,şeffaf-12.png,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1c9yU4mBV1AP7BLy8KMfx0NMQpB1eaBMk/view?usp=drivesdk,1c9yU4mBV1AP7BLy8KMfx0NMQpB1eaBMk,PNG görsel,image/png,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
82,gorseller-corteqs-logolar-bg-02-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --02.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1wpSBbyt0ufc5GXCLf6I_2PGTRcNkOWN2/view?usp=drivesdk,1wpSBbyt0ufc5GXCLf6I_2PGTRcNkOWN2,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
83,gorseller-corteqs-logolar-bg-11-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --11.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1siw5T2967ywmqIfnqqXEVpzEPt-bH23E/view?usp=drivesdk,1siw5T2967ywmqIfnqqXEVpzEPt-bH23E,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
84,gorseller-corteqs-logolar-bg-07-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --07.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1_yg_FXWQ4QduoiR486w0322cu9YK4hbi/view?usp=drivesdk,1_yg_FXWQ4QduoiR486w0322cu9YK4hbi,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
85,gorseller-corteqs-logolar-bg-08-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --08.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/124V7s0Z_4xMM8NZLICooNsLXgMon9dSo/view?usp=drivesdk,124V7s0Z_4xMM8NZLICooNsLXgMon9dSo,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
86,gorseller-corteqs-logolar-bg-12-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --12.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/15gezk1X6dd_IfDc-fELAcdS2eSzlyOrF/view?usp=drivesdk,15gezk1X6dd_IfDc-fELAcdS2eSzlyOrF,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
87,gorseller-corteqs-logolar-bg-13-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --13.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1tgITaKai8mjJLdyKVxADD_FqSrsdJuPf/view?usp=drivesdk,1tgITaKai8mjJLdyKVxADD_FqSrsdJuPf,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
88,gorseller-corteqs-logolar-bg-05-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --05.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1KiebNP9qXKBhen_AsOCmrMd7keQZeu5o/view?usp=drivesdk,1KiebNP9qXKBhen_AsOCmrMd7keQZeu5o,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
89,gorseller-corteqs-logolar-bg-04-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --04.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1FZlDrqBi1RhzTzBDOEOVRH-bLuag5BJT/view?usp=drivesdk,1FZlDrqBi1RhzTzBDOEOVRH-bLuag5BJT,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
90,gorseller-corteqs-logolar-bg-01-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --01.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1d1HbjNeGIKo_ESMYgbO6djFQopG3UmZf/view?usp=drivesdk,1d1HbjNeGIKo_ESMYgbO6djFQopG3UmZf,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
91,gorseller-corteqs-logolar-bg-03-jpg,Görseller,CORTEQS LOGOLAR,Link,UBT,BG --03.jpg,CORTEQS LOGOLAR bölümünde kullanılan görsel varlık veya ekran görüntüsü dosyasıdır.,https://drive.google.com/file/d/1CZGpyafefb5RXZG92zfQTKbMavqfOJ7f/view?usp=drivesdk,1CZGpyafefb5RXZG92zfQTKbMavqfOJ7f,JPEG görsel,image/jpeg,public,True,IMPORT_PUBLIC_DB,"logo,brand,görsel",MARKETING / LOGO ÇALIŞMALARI / CORTEQS LOGOLAR,active
